School Name,State Name [Public School] Latest available year,County Name [Public School] 2018-19,County Number [Public School] 2018-19,Male Students [Public School] 2018-19,Female Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2018-19,Hispanic Students [Public School] 2018-19,Black Students [Public School] 2018-19,White Students [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,Two or More Races Students [Public School] 2018-19,Total Race/Ethnicity [Public School] 2018-19,Full-Time Equivalent (FTE) Teachers [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19,Latitude [Public School] 2018-19,Longitude [Public School] 2018-19,CSA ID [District] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Free Lunch Eligible [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19
ALAMEDA COUNTY SPECIAL EDUCATION,California,Alameda County,="06001",†,†,†,†,†,†,†,†,†,†,–,–,37.658477,-122.098334,488,†,†,†,†
ALAMEDA ELEMENTARY,California,Los Angeles County,="06037",337,295,2,21,562,17,21,2,7,632,27.00,23.41,33.925599,-118.135863,348,632,394,91,485
ALAMEDA HIGH,California,Alameda County,="06001",889,878,2,786,223,89,539,10,118,1767,76.23,23.18,37.764701,-122.246125,488,1767,346,25,371
ALAMEDA SCIENCE AND TECHNOLOGY INSTITUTE,California,Alameda County,="06001",91,101,–,108,18,9,44,2,11,192,6.11,31.42,37.781459,-122.280681,488,192,47,8,55
ALAMEDA UNIFIED SPECIAL EDUCATION,CALIFORNIA,Alameda County,="06001",†,†,†,†,†,†,†,†,†,†,–,–,37.782150,-122.270091,488,†,†,†,†
ALAMITOS INTERMEDIATE,California,Orange County,="06059",362,360,2,220,441,8,38,8,5,722,26.19,27.57,33.782398,-117.985088,348,722,474,69,543
ALAMO ELEMENTARY,California,Solano County,="06095",376,337,5,22,235,25,363,5,58,713,27.00,26.41,38.352131,-122.001550,488,713,226,35,261
ALAMO ELEMENTARY,California,Contra Costa County,="06013",179,180,–,47,34,3,222,–,53,359,14.00,25.64,37.867239,-122.029979,488,359,8,="0",8
ALAMO ELEMENTARY,California,San Francisco County,="06075",288,241,–,233,55,3,132,5,101,529,21.10,25.07,37.783067,-122.482493,488,529,169,27,196
ALAMOS ELEMENTARY,California,Riverside County,="06065",459,430,–,125,303,31,331,3,96,889,37.00,24.03,33.563452,-117.110627,348,889,163,50,213
ALAMOSA PARK ELEMENTARY,California,San Diego County,="06073",232,257,5,26,211,12,186,7,42,489,18.20,26.87,33.239219,-117.281780,†,489,160,27,187
ALBA,California,San Diego County,="06073",32,6,="0",1,28,7,1,="0",1,38,9.01,4.22,32.750970,-117.134611,†,38,32,1,33
ALBANY HIGH,California,Alameda County,="06001",622,546,1,372,193,37,417,4,144,1168,50.73,23.02,37.896299,-122.291834,488,1168,190,24,214
ALBANY MIDDLE,California,Alameda County,="06001",474,388,–,239,152,26,284,2,159,862,40.50,21.28,37.898017,-122.295348,488,862,160,30,190
ALBANY PARK ELEMENTARY,California,Kern County,="06029",159,176,–,39,289,–,4,–,3,335,14.00,23.93,35.783832,-119.262438,†,335,223,19,242
ALBERT A. MICHELSON ELEMENTARY,California,Calaveras County,="06009",115,109,5,2,40,1,155,–,21,224,13.00,17.23,38.133094,-120.454362,†,224,93,8,101
ALBERT BAXTER ELEMENTARY,California,Los Angeles County,="06037",198,172,–,23,305,24,10,2,6,370,14.00,26.43,33.897962,-118.140286,348,370,259,45,304
ALBERT EINSTEIN ACADEMY CHARTER ELEMENTARY,CALIFORNIA,San Diego County,="06073",421,380,1,32,322,23,363,–,60,801,33.00,24.27,32.720062,-117.129762,†,801,230,39,269
ALBERT EINSTEIN ACADEMY CHARTER MIDDLE,CALIFORNIA,San Diego County,="06073",322,278,3,6,378,27,149,1,36,600,27.35,21.94,32.710230,-117.138881,†,600,270,45,315
ALBERT EINSTEIN CONTINUATION,California,Los Angeles County,="06037",50,16,–,1,64,–,1,–,–,66,3.50,18.86,34.239027,-118.479931,348,66,64,1,65
ALBERT EINSTEIN MIDDLE,California,Sacramento County,="06067",436,386,3,73,324,105,239,8,70,822,32.35,25.41,38.548801,-121.351493,472,822,451,121,572
ALBERT F. BIELLA ELEMENTARY,California,Sonoma County,="06097",169,165,2,11,253,10,45,–,13,334,15.00,22.27,38.449656,-122.755718,488,334,172,46,218
ALBERT POWELL CONTINUATION,California,Sutter County,="06101",90,61,1,7,83,4,46,1,9,151,13.61,11.09,39.161986,-121.626190,472,151,113,21,134
ALBERT SCHWEITZER ELEMENTARY,California,Sacramento County,="06067",199,168,2,13,83,11,221,3,34,367,15.00,24.47,38.644592,-121.300077,472,367,155,19,174
ALBERTA MARTONE ELEMENTARY,California,Stanislaus County,="06099",298,300,6,51,433,9,72,11,16,598,24.00,24.92,37.655701,-121.045406,382,598,444,48,492
ALBION ELEMENTARY,California,Mendocino County,="06045",11,9,–,–,2,–,14,–,4,20,1.00,20.00,39.219977,-123.715580,†,20,20,="0",20
ALBION STREET ELEMENTARY,California,Los Angeles County,="06037",109,92,1,27,167,4,2,–,–,201,9.50,21.16,34.069158,-118.220520,348,201,184,4,188
ALCOTT ELEMENTARY,California,Riverside County,="06065",382,379,2,7,434,67,231,–,20,761,31.00,24.55,33.954691,-117.364084,348,761,389,60,449
ALCOTT ELEMENTARY,California,Los Angeles County,="06037",417,415,1,23,757,35,16,–,–,832,31.50,26.41,34.042700,-117.739994,348,832,710,64,774
ALCOTT ELEMENTARY,California,San Diego County,="06073",103,92,–,6,86,2,79,–,22,195,8.00,24.38,32.832637,-117.221097,†,195,70,19,89
ALDAMA ELEMENTARY,California,Los Angeles County,="06037",252,238,="0",13,425,6,46,="0",="0",490,22.00,22.27,34.110339,-118.206545,348,490,350,25,375
ALDER CREEK MIDDLE,California,Nevada County,="06057",278,259,–,4,181,2,333,–,17,537,30.60,17.55,39.345182,-120.177465,472,537,178,23,201
ALDER GROVE CHARTER SCHOOL 2,CALIFORNIA,Humboldt County,="06023",226,251,12,1,55,6,332,–,71,477,25.40,18.78,40.799850,-124.165841,†,477,257,68,325
ALDER MIDDLE,California,San Bernardino County,="06071",553,585,–,9,1010,58,47,3,11,1138,51.74,21.99,34.118180,-117.416945,348,1138,873,156,1029
ALDERWOOD ELEMENTARY,California,Orange County,="06059",438,372,–,373,98,8,217,2,112,810,28.20,28.72,33.648649,-117.776106,348,810,103,21,124
ALESSANDRO,California,Riverside County,="06065",41,9,1,="0",25,12,11,="0",1,50,6.00,8.33,33.926838,-117.258922,348,50,42,1,43
ALESSANDRO HIGH,California,Riverside County,="06065",208,121,5,2,205,46,55,1,15,329,18.00,18.28,33.731687,-116.957788,348,329,266,22,288
ALEXANDER FLEMING MIDDLE,California,Los Angeles County,="06037",674,658,5,93,967,172,71,24,–,1332,53.33,24.98,33.792758,-118.312820,348,1332,986,139,1125
ALEXANDER HAMILTON ELEMENTARY,California,San Joaquin County,="06077",464,399,9,61,642,99,12,1,39,863,20.33,42.45,37.932527,-121.249212,488,863,741,25,766
ALEXANDER HAMILTON SENIOR HIGH,California,Los Angeles County,="06037",1191,1411,10,136,1349,679,421,6,1,2602,111.00,23.44,34.034125,-118.390578,348,2602,1457,244,1701
ALEXANDER ROSE ELEMENTARY,California,Santa Clara County,="06085",231,248,3,245,160,5,26,4,36,479,21.89,21.88,37.432866,-121.876207,488,479,249,26,275
ALEXANDER VALLEY ELEMENTARY,California,Sonoma County,="06097",50,60,–,–,39,2,69,–,–,110,8.38,13.13,38.655719,-122.793538,488,110,22,3,25
ALEXANDRIA AVENUE ELEMENTARY,California,Los Angeles County,="06037",353,356,–,57,629,5,13,3,2,709,30.00,23.63,34.077899,-118.298941,348,709,619,29,648
ALFONSO B. PEREZ SPECIAL EDUCATION CENTER,California,Los Angeles County,="06037",180,115,="0",16,273,2,4,="0",="0",295,30.50,9.67,34.037253,-118.168076,348,295,203,32,235
